@relation 'Alzh_test-weka.filters.unsupervised.attribute.Remove-R1-5,7-16'

@attribute Topic numeric
@attribute Stratification2 numeric
@attribute Geolocation numeric
@attribute Class {'Overall Health','Cognitive Decline','Screenings and Vaccines',Caregiving,'Smoking and Alcohol Use','Mental Health','Nutrition/Physical Activity/Obesity'}

@data
9,5,12,'Nutrition/Physical Activity/Obesity'
35,2,39,'Overall Health'
30,3,39,'Cognitive Decline'
11,1,21,'Nutrition/Physical Activity/Obesity'
16,1,29,'Mental Health'
19,4,35,'Overall Health'
4,1,46,'Screenings and Vaccines'
9,3,21,'Nutrition/Physical Activity/Obesity'
33,3,24,'Nutrition/Physical Activity/Obesity'
9,6,45,'Nutrition/Physical Activity/Obesity'
17,1,39,'Cognitive Decline'
2,5,30,'Overall Health'
14,4,3,'Screenings and Vaccines'
33,1,34,'Nutrition/Physical Activity/Obesity'
19,6,17,'Overall Health'
21,2,15,'Overall Health'
19,4,12,'Overall Health'
32,2,6,'Nutrition/Physical Activity/Obesity'
35,1,28,'Overall Health'
12,4,53,'Smoking and Alcohol Use'
5,4,21,'Screenings and Vaccines'
1,5,34,'Mental Health'
36,5,51,'Screenings and Vaccines'
1,2,49,'Mental Health'
29,6,3,'Overall Health'
6,5,23,'Screenings and Vaccines'
7,3,16,'Screenings and Vaccines'
37,2,52,'Screenings and Vaccines'
11,5,10,'Nutrition/Physical Activity/Obesity'
9,6,47,'Nutrition/Physical Activity/Obesity'
14,3,21,'Screenings and Vaccines'
36,7,25,'Screenings and Vaccines'
4,5,4,'Screenings and Vaccines'
2,2,14,'Overall Health'
12,3,40,'Smoking and Alcohol Use'
35,6,46,'Overall Health'
20,6,46,'Overall Health'
36,5,37,'Screenings and Vaccines'
19,6,24,'Overall Health'
32,4,8,'Nutrition/Physical Activity/Obesity'
13,3,50,'Screenings and Vaccines'
28,6,17,'Overall Health'
34,3,26,'Overall Health'
29,1,2,'Overall Health'
18,2,39,'Cognitive Decline'
23,5,7,Caregiving
14,7,21,'Screenings and Vaccines'
12,7,24,'Smoking and Alcohol Use'
26,6,39,Caregiving
11,6,36,'Nutrition/Physical Activity/Obesity'
2,1,31,'Overall Health'
11,6,36,'Nutrition/Physical Activity/Obesity'
32,6,35,'Nutrition/Physical Activity/Obesity'
1,7,10,'Mental Health'
13,3,52,'Screenings and Vaccines'
33,7,42,'Nutrition/Physical Activity/Obesity'
12,1,11,'Smoking and Alcohol Use'
1,1,28,'Mental Health'
2,6,7,'Overall Health'
16,4,1,'Mental Health'
12,1,7,'Smoking and Alcohol Use'
1,5,23,'Mental Health'
11,4,21,'Nutrition/Physical Activity/Obesity'
11,2,12,'Nutrition/Physical Activity/Obesity'
7,5,49,'Screenings and Vaccines'
13,1,21,'Screenings and Vaccines'
21,1,49,'Overall Health'
11,4,29,'Nutrition/Physical Activity/Obesity'
28,5,25,'Overall Health'
15,3,11,'Smoking and Alcohol Use'
11,5,12,'Nutrition/Physical Activity/Obesity'
3,2,12,'Overall Health'
23,2,54,Caregiving
10,6,24,'Screenings and Vaccines'
34,6,49,'Overall Health'
16,7,41,'Mental Health'
13,4,21,'Screenings and Vaccines'
37,5,21,'Screenings and Vaccines'
24,1,37,Caregiving
32,6,35,'Nutrition/Physical Activity/Obesity'
22,5,15,'Overall Health'
15,6,33,'Smoking and Alcohol Use'
10,5,32,'Screenings and Vaccines'
13,6,25,'Screenings and Vaccines'
4,1,45,'Screenings and Vaccines'
27,6,38,Caregiving
16,6,51,'Mental Health'
16,1,50,'Mental Health'
12,7,32,'Smoking and Alcohol Use'
1,1,34,'Mental Health'
31,6,25,'Cognitive Decline'
4,6,54,'Screenings and Vaccines'
28,6,16,'Overall Health'
17,4,15,'Cognitive Decline'
23,3,24,Caregiving
34,7,47,'Overall Health'
4,3,22,'Screenings and Vaccines'
35,3,12,'Overall Health'
8,7,12,'Screenings and Vaccines'
35,4,7,'Overall Health'
20,4,50,'Overall Health'
19,7,51,'Overall Health'
22,2,24,'Overall Health'
38,5,4,'Overall Health'
2,4,45,'Overall Health'
31,4,36,'Cognitive Decline'
29,2,19,'Overall Health'
13,3,13,'Screenings and Vaccines'
5,3,3,'Screenings and Vaccines'
38,6,3,'Overall Health'
36,5,49,'Screenings and Vaccines'
4,2,52,'Screenings and Vaccines'
29,5,26,'Overall Health'
37,4,21,'Screenings and Vaccines'
22,1,29,'Overall Health'
11,7,21,'Nutrition/Physical Activity/Obesity'
35,6,20,'Overall Health'
37,4,49,'Screenings and Vaccines'
26,1,39,Caregiving
18,6,9,'Cognitive Decline'
16,3,19,'Mental Health'
35,1,48,'Overall Health'
4,7,28,'Screenings and Vaccines'
9,2,29,'Nutrition/Physical Activity/Obesity'
32,3,48,'Nutrition/Physical Activity/Obesity'
12,3,25,'Smoking and Alcohol Use'
23,1,3,Caregiving
22,6,47,'Overall Health'
32,1,22,'Nutrition/Physical Activity/Obesity'
11,7,34,'Nutrition/Physical Activity/Obesity'
35,2,14,'Overall Health'
14,5,23,'Screenings and Vaccines'
21,6,12,'Overall Health'
17,3,7,'Cognitive Decline'
23,3,35,Caregiving
6,2,52,'Screenings and Vaccines'
28,2,2,'Overall Health'
11,1,10,'Nutrition/Physical Activity/Obesity'
2,6,43,'Overall Health'
22,1,8,'Overall Health'
24,1,39,Caregiving
17,2,39,'Cognitive Decline'
23,6,31,Caregiving
29,7,26,'Overall Health'
16,7,33,'Mental Health'
2,1,36,'Overall Health'
20,1,24,'Overall Health'
26,1,17,Caregiving
16,5,46,'Mental Health'
3,7,53,'Overall Health'
15,1,26,'Smoking and Alcohol Use'
16,4,21,'Mental Health'
16,7,24,'Mental Health'
30,4,36,'Cognitive Decline'
29,5,37,'Overall Health'
7,5,22,'Screenings and Vaccines'
1,3,32,'Mental Health'
33,3,37,'Nutrition/Physical Activity/Obesity'
10,5,23,'Screenings and Vaccines'
1,4,7,'Mental Health'
39,1,35,'Overall Health'
28,6,3,'Overall Health'
27,6,39,Caregiving
13,2,18,'Screenings and Vaccines'
19,2,11,'Overall Health'
17,7,5,'Cognitive Decline'
20,3,4,'Overall Health'
16,5,3,'Mental Health'
24,7,39,Caregiving
7,2,41,'Screenings and Vaccines'
31,6,6,'Cognitive Decline'
12,6,38,'Smoking and Alcohol Use'
18,6,35,'Cognitive Decline'
1,7,54,'Mental Health'
30,2,41,'Cognitive Decline'
18,5,39,'Cognitive Decline'
15,7,14,'Smoking and Alcohol Use'
1,6,9,'Mental Health'
22,3,39,'Overall Health'
35,4,51,'Overall Health'
12,6,13,'Smoking and Alcohol Use'
36,5,11,'Screenings and Vaccines'
28,6,26,'Overall Health'
11,6,9,'Nutrition/Physical Activity/Obesity'
16,4,21,'Mental Health'
35,2,43,'Overall Health'
31,2,39,'Cognitive Decline'
33,3,16,'Nutrition/Physical Activity/Obesity'
1,2,7,'Mental Health'
15,7,1,'Smoking and Alcohol Use'
31,5,9,'Cognitive Decline'
35,3,40,'Overall Health'
13,7,8,'Screenings and Vaccines'
26,6,39,Caregiving
5,5,46,'Screenings and Vaccines'
11,6,41,'Nutrition/Physical Activity/Obesity'
2,6,53,'Overall Health'
28,3,42,'Overall Health'
1,4,29,'Mental Health'
28,2,15,'Overall Health'
26,7,22,Caregiving
32,5,2,'Nutrition/Physical Activity/Obesity'
1,7,20,'Mental Health'
6,2,35,'Screenings and Vaccines'
2,1,42,'Overall Health'
11,2,36,'Nutrition/Physical Activity/Obesity'
19,7,35,'Overall Health'
21,2,11,'Overall Health'
14,1,47,'Screenings and Vaccines'
26,3,39,Caregiving
17,5,47,'Cognitive Decline'
24,4,37,Caregiving
12,3,19,'Smoking and Alcohol Use'
23,5,27,Caregiving
10,4,52,'Screenings and Vaccines'
7,5,8,'Screenings and Vaccines'
22,6,29,'Overall Health'
10,4,6,'Screenings and Vaccines'
15,4,26,'Smoking and Alcohol Use'
27,1,40,Caregiving
9,5,12,'Nutrition/Physical Activity/Obesity'
15,2,5,'Smoking and Alcohol Use'
19,3,38,'Overall Health'
33,3,50,'Nutrition/Physical Activity/Obesity'
11,2,33,'Nutrition/Physical Activity/Obesity'
11,6,12,'Nutrition/Physical Activity/Obesity'
4,6,49,'Screenings and Vaccines'
1,1,21,'Mental Health'
26,6,47,Caregiving
16,6,9,'Mental Health'
18,2,18,'Cognitive Decline'
15,1,11,'Smoking and Alcohol Use'
4,2,21,'Screenings and Vaccines'
25,6,26,Caregiving
13,2,4,'Screenings and Vaccines'
30,6,35,'Cognitive Decline'
20,1,8,'Overall Health'
2,7,52,'Overall Health'
12,3,34,'Smoking and Alcohol Use'
17,6,52,'Cognitive Decline'
9,6,12,'Nutrition/Physical Activity/Obesity'
21,2,29,'Overall Health'
23,3,30,Caregiving
15,3,22,'Smoking and Alcohol Use'
11,7,7,'Nutrition/Physical Activity/Obesity'
9,6,39,'Nutrition/Physical Activity/Obesity'
20,1,27,'Overall Health'
17,7,11,'Cognitive Decline'
13,5,41,'Screenings and Vaccines'
22,6,21,'Overall Health'
39,7,51,'Overall Health'
19,3,11,'Overall Health'
19,2,12,'Overall Health'
32,5,25,'Nutrition/Physical Activity/Obesity'
14,5,8,'Screenings and Vaccines'
39,7,23,'Overall Health'
16,4,53,'Mental Health'
1,7,32,'Mental Health'
5,7,13,'Screenings and Vaccines'
29,6,23,'Overall Health'
2,6,26,'Overall Health'
9,3,51,'Nutrition/Physical Activity/Obesity'
17,4,39,'Cognitive Decline'
15,5,25,'Smoking and Alcohol Use'
12,5,8,'Smoking and Alcohol Use'
16,7,11,'Mental Health'
16,4,11,'Mental Health'
20,6,12,'Overall Health'
6,5,10,'Screenings and Vaccines'
22,7,45,'Overall Health'
33,1,29,'Nutrition/Physical Activity/Obesity'
12,6,42,'Smoking and Alcohol Use'
10,1,3,'Screenings and Vaccines'
9,6,11,'Nutrition/Physical Activity/Obesity'
34,7,1,'Overall Health'
16,6,43,'Mental Health'
14,5,21,'Screenings and Vaccines'
16,6,41,'Mental Health'
1,5,26,'Mental Health'
13,4,21,'Screenings and Vaccines'
11,4,12,'Nutrition/Physical Activity/Obesity'
15,6,1,'Smoking and Alcohol Use'
39,4,27,'Overall Health'
22,6,43,'Overall Health'
9,6,46,'Nutrition/Physical Activity/Obesity'
16,2,47,'Mental Health'
1,3,53,'Mental Health'
9,6,31,'Nutrition/Physical Activity/Obesity'
18,7,25,'Cognitive Decline'
33,6,40,'Nutrition/Physical Activity/Obesity'
16,1,30,'Mental Health'
9,5,12,'Nutrition/Physical Activity/Obesity'
13,2,51,'Screenings and Vaccines'
16,7,47,'Mental Health'
21,2,33,'Overall Health'
30,4,20,'Cognitive Decline'
10,4,9,'Screenings and Vaccines'
38,2,19,'Overall Health'
23,5,51,Caregiving
28,1,12,'Overall Health'
7,5,17,'Screenings and Vaccines'
33,7,42,'Nutrition/Physical Activity/Obesity'
12,6,51,'Smoking and Alcohol Use'
39,6,39,'Overall Health'
2,1,31,'Overall Health'
35,2,13,'Overall Health'
25,1,38,Caregiving
2,5,41,'Overall Health'
28,4,14,'Overall Health'
22,1,22,'Overall Health'
26,2,52,Caregiving
6,3,19,'Screenings and Vaccines'
17,5,34,'Cognitive Decline'
2,6,32,'Overall Health'
15,5,30,'Smoking and Alcohol Use'
15,7,48,'Smoking and Alcohol Use'
5,2,41,'Screenings and Vaccines'
34,6,42,'Overall Health'
19,4,26,'Overall Health'
1,3,42,'Mental Health'
29,5,53,'Overall Health'
31,7,26,'Cognitive Decline'
14,5,40,'Screenings and Vaccines'
36,7,17,'Screenings and Vaccines'
23,1,47,Caregiving
30,2,39,'Cognitive Decline'
35,1,50,'Overall Health'
4,6,8,'Screenings and Vaccines'
22,5,38,'Overall Health'
29,4,53,'Overall Health'
13,2,15,'Screenings and Vaccines'
17,6,3,'Cognitive Decline'
36,2,50,'Screenings and Vaccines'
12,5,31,'Smoking and Alcohol Use'
15,4,41,'Smoking and Alcohol Use'
9,5,17,'Nutrition/Physical Activity/Obesity'
15,7,25,'Smoking and Alcohol Use'
16,7,47,'Mental Health'
34,2,52,'Overall Health'
28,4,38,'Overall Health'
22,6,35,'Overall Health'
37,3,8,'Screenings and Vaccines'
16,5,19,'Mental Health'
2,2,43,'Overall Health'
24,7,30,Caregiving
10,6,18,'Screenings and Vaccines'
23,3,36,Caregiving
12,1,41,'Smoking and Alcohol Use'
2,6,18,'Overall Health'
16,6,2,'Mental Health'
28,2,12,'Overall Health'
14,7,21,'Screenings and Vaccines'
6,3,22,'Screenings and Vaccines'
34,4,49,'Overall Health'
19,4,8,'Overall Health'
31,6,47,'Cognitive Decline'
10,7,40,'Screenings and Vaccines'
28,4,23,'Overall Health'
22,1,23,'Overall Health'
35,6,50,'Overall Health'
7,5,8,'Screenings and Vaccines'
11,7,16,'Nutrition/Physical Activity/Obesity'
38,6,15,'Overall Health'
12,7,11,'Smoking and Alcohol Use'
36,6,41,'Screenings and Vaccines'
3,1,14,'Overall Health'
1,5,8,'Mental Health'
11,2,47,'Nutrition/Physical Activity/Obesity'
30,6,36,'Cognitive Decline'
15,1,40,'Smoking and Alcohol Use'
25,1,6,Caregiving
4,2,10,'Screenings and Vaccines'
26,4,15,Caregiving
20,7,46,'Overall Health'
19,4,18,'Overall Health'
24,4,9,Caregiving
38,6,12,'Overall Health'
12,6,54,'Smoking and Alcohol Use'
25,2,39,Caregiving
19,6,12,'Overall Health'
4,5,10,'Screenings and Vaccines'
17,4,40,'Cognitive Decline'
22,7,35,'Overall Health'
29,2,48,'Overall Health'
26,6,31,Caregiving
9,5,24,'Nutrition/Physical Activity/Obesity'
39,6,14,'Overall Health'
15,1,51,'Smoking and Alcohol Use'
37,7,20,'Screenings and Vaccines'
25,5,28,Caregiving
28,7,4,'Overall Health'
27,5,9,Caregiving
38,6,28,'Overall Health'
9,4,23,'Nutrition/Physical Activity/Obesity'
23,6,2,Caregiving
19,6,28,'Overall Health'
3,2,25,'Overall Health'
35,5,4,'Overall Health'
11,3,3,'Nutrition/Physical Activity/Obesity'
35,7,36,'Overall Health'
20,2,9,'Overall Health'
28,5,50,'Overall Health'
11,4,36,'Nutrition/Physical Activity/Obesity'
4,1,48,'Screenings and Vaccines'
16,1,37,'Mental Health'
4,5,21,'Screenings and Vaccines'
22,4,45,'Overall Health'
22,4,35,'Overall Health'
30,4,6,'Cognitive Decline'
24,6,42,Caregiving
13,7,29,'Screenings and Vaccines'
14,2,17,'Screenings and Vaccines'
15,2,12,'Smoking and Alcohol Use'
16,1,44,'Mental Health'
2,5,42,'Overall Health'
14,1,15,'Screenings and Vaccines'
36,7,21,'Screenings and Vaccines'
12,5,11,'Smoking and Alcohol Use'
11,3,12,'Nutrition/Physical Activity/Obesity'
35,1,49,'Overall Health'
15,1,18,'Smoking and Alcohol Use'
17,6,3,'Cognitive Decline'
4,3,45,'Screenings and Vaccines'
11,7,12,'Nutrition/Physical Activity/Obesity'
7,1,35,'Screenings and Vaccines'
4,4,15,'Screenings and Vaccines'
7,3,43,'Screenings and Vaccines'
15,1,26,'Smoking and Alcohol Use'
11,6,12,'Nutrition/Physical Activity/Obesity'
1,3,6,'Mental Health'
16,6,11,'Mental Health'
18,1,24,'Cognitive Decline'
23,6,38,Caregiving
13,2,52,'Screenings and Vaccines'
9,6,41,'Nutrition/Physical Activity/Obesity'
24,6,7,Caregiving
14,4,30,'Screenings and Vaccines'
16,7,38,'Mental Health'
9,3,25,'Nutrition/Physical Activity/Obesity'
13,3,34,'Screenings and Vaccines'
23,2,39,Caregiving
38,2,12,'Overall Health'
8,5,46,'Screenings and Vaccines'
37,7,4,'Screenings and Vaccines'
22,4,14,'Overall Health'
11,7,42,'Nutrition/Physical Activity/Obesity'
36,1,23,'Screenings and Vaccines'
2,3,41,'Overall Health'
19,6,12,'Overall Health'
16,5,35,'Mental Health'
36,2,50,'Screenings and Vaccines'
11,6,41,'Nutrition/Physical Activity/Obesity'
16,5,41,'Mental Health'
20,6,18,'Overall Health'
38,7,38,'Overall Health'
18,2,39,'Cognitive Decline'
27,3,39,Caregiving
4,1,37,'Screenings and Vaccines'
31,3,17,'Cognitive Decline'
18,6,19,'Cognitive Decline'
2,5,9,'Overall Health'
32,5,24,'Nutrition/Physical Activity/Obesity'
29,4,12,'Overall Health'
23,1,35,Caregiving
29,6,21,'Overall Health'
35,3,30,'Overall Health'
20,6,16,'Overall Health'
19,3,7,'Overall Health'
20,2,25,'Overall Health'
5,7,33,'Screenings and Vaccines'
11,5,32,'Nutrition/Physical Activity/Obesity'
33,4,48,'Nutrition/Physical Activity/Obesity'
3,4,34,'Overall Health'
37,3,7,'Screenings and Vaccines'
15,3,45,'Smoking and Alcohol Use'
6,3,53,'Screenings and Vaccines'
3,6,48,'Overall Health'
33,2,52,'Nutrition/Physical Activity/Obesity'
38,6,12,'Overall Health'
14,4,39,'Screenings and Vaccines'
16,3,11,'Mental Health'
2,6,36,'Overall Health'
7,1,21,'Screenings and Vaccines'
6,2,26,'Screenings and Vaccines'
29,6,20,'Overall Health'
19,2,54,'Overall Health'
18,7,30,'Cognitive Decline'
36,5,49,'Screenings and Vaccines'
14,7,21,'Screenings and Vaccines'
19,3,24,'Overall Health'
11,4,52,'Nutrition/Physical Activity/Obesity'
19,6,28,'Overall Health'
15,6,52,'Smoking and Alcohol Use'
21,7,6,'Overall Health'
9,1,28,'Nutrition/Physical Activity/Obesity'
15,7,1,'Smoking and Alcohol Use'
10,5,15,'Screenings and Vaccines'
9,1,12,'Nutrition/Physical Activity/Obesity'
30,2,4,'Cognitive Decline'
9,2,12,'Nutrition/Physical Activity/Obesity'
15,5,51,'Smoking and Alcohol Use'
23,6,17,Caregiving
1,2,17,'Mental Health'
7,5,3,'Screenings and Vaccines'
35,6,16,'Overall Health'
36,1,12,'Screenings and Vaccines'
29,1,19,'Overall Health'
15,6,3,'Smoking and Alcohol Use'
35,2,12,'Overall Health'
1,7,23,'Mental Health'
11,4,24,'Nutrition/Physical Activity/Obesity'
23,2,26,Caregiving
11,3,54,'Nutrition/Physical Activity/Obesity'
17,6,42,'Cognitive Decline'
35,5,51,'Overall Health'
4,4,44,'Screenings and Vaccines'
23,6,7,Caregiving
3,6,4,'Overall Health'
4,4,10,'Screenings and Vaccines'
22,6,27,'Overall Health'
4,6,3,'Screenings and Vaccines'
9,6,53,'Nutrition/Physical Activity/Obesity'
26,6,9,Caregiving
4,5,37,'Screenings and Vaccines'
12,6,10,'Smoking and Alcohol Use'
1,4,47,'Mental Health'
22,6,38,'Overall Health'
9,2,33,'Nutrition/Physical Activity/Obesity'
22,4,27,'Overall Health'
4,5,20,'Screenings and Vaccines'
19,7,47,'Overall Health'
33,3,20,'Nutrition/Physical Activity/Obesity'
10,4,19,'Screenings and Vaccines'
16,2,2,'Mental Health'
24,3,18,Caregiving
24,2,9,Caregiving
9,1,9,'Nutrition/Physical Activity/Obesity'
6,5,35,'Screenings and Vaccines'
11,7,40,'Nutrition/Physical Activity/Obesity'
37,4,41,'Screenings and Vaccines'
11,1,33,'Nutrition/Physical Activity/Obesity'
18,6,27,'Cognitive Decline'
17,3,50,'Cognitive Decline'
10,5,8,'Screenings and Vaccines'
11,4,34,'Nutrition/Physical Activity/Obesity'
13,5,21,'Screenings and Vaccines'
12,5,11,'Smoking and Alcohol Use'
15,1,26,'Smoking and Alcohol Use'
19,1,33,'Overall Health'
28,7,25,'Overall Health'
26,7,31,Caregiving
16,4,48,'Mental Health'
2,6,20,'Overall Health'
30,3,39,'Cognitive Decline'
20,3,41,'Overall Health'
27,4,11,Caregiving
2,3,12,'Overall Health'
20,6,52,'Overall Health'
12,6,2,'Smoking and Alcohol Use'
9,6,11,'Nutrition/Physical Activity/Obesity'
34,6,22,'Overall Health'
35,3,34,'Overall Health'
1,5,53,'Mental Health'
35,7,11,'Overall Health'
28,1,16,'Overall Health'
10,6,45,'Screenings and Vaccines'
26,7,30,Caregiving
18,6,28,'Cognitive Decline'
30,2,29,'Cognitive Decline'
29,6,45,'Overall Health'
12,6,50,'Smoking and Alcohol Use'
10,3,51,'Screenings and Vaccines'
11,2,51,'Nutrition/Physical Activity/Obesity'
26,3,7,Caregiving
26,7,18,Caregiving
5,5,30,'Screenings and Vaccines'
16,3,36,'Mental Health'
11,4,12,'Nutrition/Physical Activity/Obesity'
12,6,43,'Smoking and Alcohol Use'
6,5,25,'Screenings and Vaccines'
7,5,21,'Screenings and Vaccines'
15,5,11,'Smoking and Alcohol Use'
20,1,17,'Overall Health'
1,5,16,'Mental Health'
1,7,12,'Mental Health'
25,6,37,Caregiving
9,6,18,'Nutrition/Physical Activity/Obesity'
22,4,43,'Overall Health'
29,2,12,'Overall Health'
33,7,4,'Nutrition/Physical Activity/Obesity'
11,4,22,'Nutrition/Physical Activity/Obesity'
21,6,26,'Overall Health'
22,1,36,'Overall Health'
36,3,42,'Screenings and Vaccines'
15,5,10,'Smoking and Alcohol Use'
10,2,12,'Screenings and Vaccines'
20,6,34,'Overall Health'
18,4,29,'Cognitive Decline'
26,1,10,Caregiving
20,2,26,'Overall Health'
13,5,19,'Screenings and Vaccines'
19,3,30,'Overall Health'
13,3,9,'Screenings and Vaccines'
38,2,28,'Overall Health'
12,7,6,'Smoking and Alcohol Use'
17,7,26,'Cognitive Decline'
16,7,47,'Mental Health'
13,6,31,'Screenings and Vaccines'
9,3,43,'Nutrition/Physical Activity/Obesity'
27,6,45,Caregiving
35,7,13,'Overall Health'
3,6,35,'Overall Health'
22,1,33,'Overall Health'
13,3,25,'Screenings and Vaccines'
33,7,34,'Nutrition/Physical Activity/Obesity'
19,6,52,'Overall Health'
35,7,20,'Overall Health'
30,3,39,'Cognitive Decline'
34,5,8,'Overall Health'
26,7,16,Caregiving
2,5,44,'Overall Health'
5,5,52,'Screenings and Vaccines'
35,3,11,'Overall Health'
15,6,24,'Smoking and Alcohol Use'
11,2,29,'Nutrition/Physical Activity/Obesity'
18,6,9,'Cognitive Decline'
13,1,36,'Screenings and Vaccines'
3,3,43,'Overall Health'
1,6,31,'Mental Health'
20,4,1,'Overall Health'
4,7,41,'Screenings and Vaccines'
17,1,53,'Cognitive Decline'
27,3,52,Caregiving
35,2,31,'Overall Health'
26,5,39,Caregiving
38,7,12,'Overall Health'
32,2,12,'Nutrition/Physical Activity/Obesity'
16,5,12,'Mental Health'
12,5,51,'Smoking and Alcohol Use'
34,6,9,'Overall Health'
4,7,8,'Screenings and Vaccines'
6,2,7,'Screenings and Vaccines'
37,3,33,'Screenings and Vaccines'
12,6,8,'Smoking and Alcohol Use'
36,2,3,'Screenings and Vaccines'
24,6,10,Caregiving
29,3,16,'Overall Health'
9,6,45,'Nutrition/Physical Activity/Obesity'
34,4,7,'Overall Health'
15,4,40,'Smoking and Alcohol Use'
22,6,13,'Overall Health'
13,4,3,'Screenings and Vaccines'
22,3,12,'Overall Health'
39,3,36,'Overall Health'
20,1,9,'Overall Health'
31,5,38,'Cognitive Decline'
28,7,4,'Overall Health'
9,6,41,'Nutrition/Physical Activity/Obesity'
26,3,7,Caregiving
22,3,52,'Overall Health'
17,7,10,'Cognitive Decline'
1,1,11,'Mental Health'
29,6,49,'Overall Health'
29,5,49,'Overall Health'
4,5,1,'Screenings and Vaccines'
1,6,26,'Mental Health'
12,1,20,'Smoking and Alcohol Use'
5,2,35,'Screenings and Vaccines'
17,7,9,'Cognitive Decline'
8,3,1,'Screenings and Vaccines'
39,7,42,'Overall Health'
24,3,39,Caregiving
2,6,20,'Overall Health'
13,5,21,'Screenings and Vaccines'
12,2,29,'Smoking and Alcohol Use'
20,2,24,'Overall Health'
36,6,22,'Screenings and Vaccines'
2,6,18,'Overall Health'
9,6,12,'Nutrition/Physical Activity/Obesity'
37,5,53,'Screenings and Vaccines'
12,5,19,'Smoking and Alcohol Use'
4,5,31,'Screenings and Vaccines'
16,6,11,'Mental Health'
34,5,35,'Overall Health'
6,5,19,'Screenings and Vaccines'
7,3,35,'Screenings and Vaccines'
34,5,50,'Overall Health'
5,5,4,'Screenings and Vaccines'
20,3,21,'Overall Health'
20,4,40,'Overall Health'
37,3,12,'Screenings and Vaccines'
25,3,1,Caregiving
4,7,22,'Screenings and Vaccines'
36,5,41,'Screenings and Vaccines'
16,2,45,'Mental Health'
20,5,45,'Overall Health'
38,6,14,'Overall Health'
32,2,27,'Nutrition/Physical Activity/Obesity'
1,6,18,'Mental Health'
15,6,29,'Smoking and Alcohol Use'
38,4,39,'Overall Health'
17,7,17,'Cognitive Decline'
38,4,43,'Overall Health'
1,1,11,'Mental Health'
12,6,11,'Smoking and Alcohol Use'
15,5,6,'Smoking and Alcohol Use'
11,4,12,'Nutrition/Physical Activity/Obesity'
21,2,39,'Overall Health'
15,5,26,'Smoking and Alcohol Use'
4,5,24,'Screenings and Vaccines'
3,7,5,'Overall Health'
17,4,39,'Cognitive Decline'
22,7,43,'Overall Health'
27,1,39,Caregiving
10,5,21,'Screenings and Vaccines'
13,6,13,'Screenings and Vaccines'
1,3,11,'Mental Health'
17,4,39,'Cognitive Decline'
34,6,50,'Overall Health'
35,3,38,'Overall Health'
4,5,53,'Screenings and Vaccines'
28,7,42,'Overall Health'
29,1,42,'Overall Health'
39,7,38,'Overall Health'
5,7,39,'Screenings and Vaccines'
20,6,12,'Overall Health'
27,3,1,Caregiving
1,4,25,'Mental Health'
19,2,54,'Overall Health'
4,5,37,'Screenings and Vaccines'
33,7,47,'Nutrition/Physical Activity/Obesity'
20,6,12,'Overall Health'
34,6,36,'Overall Health'
35,4,34,'Overall Health'
12,1,39,'Smoking and Alcohol Use'
14,7,46,'Screenings and Vaccines'
10,4,21,'Screenings and Vaccines'
15,6,47,'Smoking and Alcohol Use'
22,3,28,'Overall Health'
12,1,36,'Smoking and Alcohol Use'
16,4,11,'Mental Health'
35,6,4,'Overall Health'
22,4,36,'Overall Health'
2,6,41,'Overall Health'
9,4,28,'Nutrition/Physical Activity/Obesity'
2,2,12,'Overall Health'
16,7,9,'Mental Health'
34,4,39,'Overall Health'
21,6,30,'Overall Health'
24,3,39,Caregiving
13,5,1,'Screenings and Vaccines'
21,6,41,'Overall Health'
3,6,39,'Overall Health'
27,1,39,Caregiving
12,4,29,'Smoking and Alcohol Use'
27,7,35,Caregiving
35,3,3,'Overall Health'
10,1,46,'Screenings and Vaccines'
16,5,41,'Mental Health'
25,3,39,Caregiving
19,6,53,'Overall Health'
11,1,28,'Nutrition/Physical Activity/Obesity'
22,2,20,'Overall Health'
9,4,29,'Nutrition/Physical Activity/Obesity'
1,1,25,'Mental Health'
5,1,52,'Screenings and Vaccines'
6,2,22,'Screenings and Vaccines'
33,6,7,'Nutrition/Physical Activity/Obesity'
30,5,9,'Cognitive Decline'
3,2,28,'Overall Health'
25,7,23,Caregiving
1,6,20,'Mental Health'
15,1,27,'Smoking and Alcohol Use'
17,4,32,'Cognitive Decline'
19,3,28,'Overall Health'
19,4,36,'Overall Health'
38,2,29,'Overall Health'
20,6,48,'Overall Health'
17,6,16,'Cognitive Decline'
32,3,19,'Nutrition/Physical Activity/Obesity'
29,5,20,'Overall Health'
15,5,17,'Smoking and Alcohol Use'
39,2,32,'Overall Health'
6,2,6,'Screenings and Vaccines'
18,4,14,'Cognitive Decline'
11,6,18,'Nutrition/Physical Activity/Obesity'
22,4,39,'Overall Health'
19,6,18,'Overall Health'
23,6,37,Caregiving
28,7,3,'Overall Health'
1,6,47,'Mental Health'
26,6,26,Caregiving
22,6,1,'Overall Health'
29,1,14,'Overall Health'
15,6,2,'Smoking and Alcohol Use'
34,5,5,'Overall Health'
15,6,11,'Smoking and Alcohol Use'
26,2,39,Caregiving
1,6,9,'Mental Health'
20,6,4,'Overall Health'
19,6,45,'Overall Health'
16,7,2,'Mental Health'
36,5,29,'Screenings and Vaccines'
2,5,12,'Overall Health'
2,2,12,'Overall Health'
